Time,Disk-1,Disk-2,Disk-3,Disk-4,Disk-5,Disk-6,Disk-7,Disk-8,Disk-9,Disk-10,Disk-11,Disk-12,Disk-13,Disk-14,Disk-15,Disk-16,Disk-17,Disk-18,Disk-19,Disk-20,Total
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
13,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
14,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
15,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
16,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
17,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
18,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
19,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
20,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
21,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
22,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
23,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
24,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
25,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
26,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
27,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
28,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
29,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
30,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
31,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
32,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
33,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
34,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
35,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
36,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
