RequestFileName,GenerateTime,ResponseTime,Qos
7-11418-380-93,0,11,11.0
7-11418-380-94,0,11,11.0
1-1696-56-82,4,15,11.0
1-1696-56-81,7,15,8.0
7-11418-380-91,8,11,3.0
7-11418-380-92,13,14,1.0
6-8848-294-144,13,24,11.0
1-1893-63-17,16,27,11.0
6-8848-294-143,16,24,8.0
1-1696-56-80,17,18,1.0
8-12901-430-7,22,33,11.0
15-23387-779-86,22,33,11.0
8-12901-430-8,24,33,9.0
8-12901-430-9,29,33,4.0
1-1893-63-18,29,30,1.0
8-12901-430-6,30,33,3.0
8-12901-430-5,30,33,3.0
16-24573-819-15,32,43,11.0
15-23387-779-85,32,33,1.0
16-24573-819-16,33,43,10.0
3-5070-169-3,40,51,11.0
15-23387-779-87,44,45,1.0
4-5895-196-79,45,56,11.0
4-5895-196-78,45,56,11.0
3-5070-169-2,48,51,3.0
1-1893-63-19,50,51,1.0
3-5070-169-4,52,53,1.0
6-8949-298-46,53,64,11.0
6-8949-298-47,55,64,9.0
6-8949-298-45,57,64,7.0
14-21349-711-96,60,71,11.0
14-21349-711-99,62,71,9.0
14-21349-711-95,63,71,8.0
2-3114-103-124,64,75,11.0
2-3114-103-123,69,75,6.0
2-3114-103-121,71,75,4.0
14-21349-711-97,72,73,1.0
2-3114-103-122,76,77,1.0
14-21349-711-98,77,78,1.0
12-18398-613-44,78,89,11.0
2-3114-103-120,82,83,1.0
0-1112-37-14,83,94,11.0
15-22102-736-112,83,94,11.0
0-1112-37-13,85,94,9.0
15-22102-736-113,86,94,8.0
9-14636-487-133,92,103,11.0
0-1112-37-11,93,94,1.0
9-14636-487-134,94,103,9.0
0-1112-37-12,98,99,1.0
15-22102-736-114,98,99,1.0
11-17360-578-101,100,111,11.0
9-14636-487-132,103,104,1.0
9-14636-487-131,107,108,1.0
11-17360-578-100,109,111,2.0
1-1526-50-133,109,120,11.0
16-24701-823-56,110,121,11.0
1-1526-50-132,114,120,6.0
6-10013-333-119,115,126,11.0
1-1526-50-130,116,120,4.0
1-1526-50-131,118,120,2.0
7-11060-368-104,121,132,11.0
16-24701-823-57,124,125,1.0
7-11060-368-100,125,132,7.0
16-24701-823-58,127,128,1.0
16-24701-823-59,127,128,1.0
7-11060-368-101,131,132,1.0
17-25316-843-134,132,143,11.0
7-11060-368-102,134,135,1.0
14-20841-694-105,135,146,11.0
7-11060-368-103,135,136,1.0
3-4461-148-109,140,151,11.0
9-14105-470-25,141,152,11.0
4-6740-224-100,143,154,11.0
3-4461-148-108,147,151,4.0
16-24763-825-66,152,163,11.0
16-24763-825-69,153,163,10.0
16-24763-825-67,153,163,10.0
3-4462-148-110,157,158,1.0
16-24763-825-68,158,163,5.0
3-4462-148-112,160,161,1.0
3-4462-148-111,164,165,1.0
8-12057-401-135,164,175,11.0
8-12057-401-136,166,175,9.0
1-2037-67-139,168,179,11.0
8-12924-430-124,172,183,11.0
0-1113-37-15,174,175,1.0
1-1947-64-139,174,185,11.0
12-17974-599-23,178,189,11.0
12-17974-599-24,178,189,11.0
9-14319-477-49,183,194,11.0
9-14319-477-48,184,194,10.0
12-17974-599-22,186,189,3.0
12-17974-599-21,187,189,2.0
9-14319-477-47,188,194,6.0
10-14765-492-28,192,203,11.0
18-27959-931-145,192,203,11.0
10-14765-492-27,195,203,8.0
10-14765-492-29,197,203,6.0
18-27959-931-146,197,203,6.0
12-17974-599-20,202,203,1.0
9-13582-452-114,206,217,11.0
9-13582-452-113,207,217,10.0
18-27959-931-147,209,210,1.0
7-11419-380-95,213,214,1.0
6-8948-298-44,215,216,1.0
6-8948-298-43,219,220,1.0
13-19402-646-113,219,230,11.0
13-19402-646-110,220,230,10.0
13-19402-646-114,222,230,8.0
15-23386-779-84,224,225,1.0
13-19402-646-112,225,230,5.0
13-19402-646-111,229,230,1.0
18-27561-918-105,231,242,11.0
18-27561-918-106,235,242,7.0
15-23386-779-83,236,237,1.0
16-24572-819-14,237,238,1.0
16-24572-819-13,238,239,1.0
10-15176-505-130,242,253,11.0
4-5896-196-82,244,245,1.0
18-27561-918-107,245,246,1.0
10-15176-505-131,246,253,7.0
16-24572-819-12,248,249,1.0
4-5896-196-80,251,252,1.0
16-24322-810-114,255,266,11.0
17-25317-843-135,257,258,1.0
4-5896-196-81,257,258,1.0
10-15671-522-59,259,270,11.0
16-24322-810-113,264,266,2.0
14-20840-694-102,264,265,1.0
14-20840-694-103,264,265,1.0
16-24322-810-112,267,268,1.0
6-10014-333-123,269,270,1.0
14-20840-694-104,272,273,1.0
6-10014-333-120,274,275,1.0
14-20840-694-101,277,278,1.0
6-10014-333-122,277,278,1.0
6-10014-333-121,279,280,1.0
16-24322-810-110,280,281,1.0
16-24322-810-111,283,284,1.0
15-22103-736-116,284,285,1.0
15-22103-736-115,285,286,1.0
9-14108-470-42,291,302,11.0
9-14108-470-43,292,302,10.0
9-14108-470-44,292,302,10.0
18-27958-931-144,293,294,1.0
4-6739-224-98,296,297,1.0
4-6739-224-96,300,301,1.0
9-14320-477-51,301,302,1.0
4-6739-224-99,304,305,1.0
12-18399-613-45,305,306,1.0
4-6739-224-97,309,310,1.0
9-14320-477-50,311,312,1.0
12-18399-613-46,313,314,1.0
18-27632-921-13,318,329,11.0
12-18399-613-48,318,319,1.0
12-18399-613-47,318,319,1.0
18-27632-921-12,320,329,9.0
18-27632-921-11,320,329,9.0
8-12056-401-132,323,324,1.0
1-1525-50-129,324,325,1.0
8-12056-401-133,328,329,1.0
6-10047-334-139,330,341,11.0
18-27632-921-10,335,336,1.0
6-10047-334-137,338,341,3.0
8-12056-401-134,338,339,1.0
6-10047-334-138,338,341,3.0
15-22272-742-62,341,352,11.0
6-10047-334-136,343,344,1.0
13-19357-645-35,343,354,11.0
9-14104-470-24,348,349,1.0
9-14104-470-23,349,350,1.0
15-22272-742-61,350,352,2.0
15-22272-742-64,351,352,1.0
15-22273-742-65,354,355,1.0
15-22272-742-63,356,357,1.0
13-19357-645-39,358,359,1.0
13-19732-657-110,361,372,11.0
13-19357-645-38,363,364,1.0
13-19357-645-37,364,365,1.0
11-17359-578-97,369,370,1.0
13-19732-657-111,369,372,3.0
18-27631-921-9,370,371,1.0
1-1695-56-78,371,372,1.0
11-17359-578-98,375,376,1.0
0-50-1-100,375,386,11.0
13-19357-645-36,378,379,1.0
8-12925-430-127,380,381,1.0
1-1894-63-21,383,384,1.0
1-1695-56-79,386,387,1.0
8-12925-430-125,387,388,1.0
8-12925-430-126,388,389,1.0
1-1948-64-143,391,392,1.0
16-24702-823-60,396,397,1.0
8-12925-430-128,397,398,1.0
9-14104-470-21,398,399,1.0
9-14104-470-22,399,400,1.0
1-1894-63-20,401,402,1.0
1-1948-64-142,403,404,1.0
1-1948-64-141,406,407,1.0
1-1948-64-140,407,408,1.0
14-21991-733-7,408,419,11.0
10-14766-492-31,411,412,1.0
10-14766-492-30,412,413,1.0
16-24764-825-70,414,415,1.0
14-21991-733-5,415,419,4.0
14-21991-733-6,418,419,1.0
3-5071-169-6,421,422,1.0
13-19731-657-109,421,422,1.0
13-19731-657-107,422,423,1.0
13-19731-657-108,423,424,1.0
3-5071-169-5,428,429,1.0
14-21990-733-4,434,435,1.0
9-13583-452-115,436,437,1.0
11-17359-578-99,439,440,1.0
17-25317-843-138,440,441,1.0
10-15672-522-61,442,443,1.0
10-15672-522-62,444,445,1.0
10-15672-522-63,448,449,1.0
10-15672-522-60,449,450,1.0
14-21990-733-3,450,451,1.0
17-25317-843-136,455,456,1.0
17-25317-843-137,455,456,1.0
10-15175-505-127,460,461,1.0
9-14109-470-46,465,466,1.0
10-15175-505-129,465,466,1.0
9-14109-470-45,468,469,1.0
10-15175-505-128,469,470,1.0
0-49-1-99,470,471,1.0
0-49-1-98,473,474,1.0
6-10048-334-140,477,478,1.0
0-49-1-97,478,479,1.0
0-49-1-96,478,479,1.0
18-27560-918-104,480,481,1.0
18-27560-918-103,481,482,1.0
1-2038-67-141,482,483,1.0
1-2038-67-142,488,489,1.0
1-2038-67-143,488,489,1.0
6-8849-294-146,493,494,1.0
1-2038-67-140,496,497,1.0
9-14637-487-135,497,498,1.0
6-8849-294-147,497,498,1.0
6-8849-294-145,498,499,1.0
6-10293-343-15,501,512,11.0
17-25598-853-44,506,517,11.0
6-10293-343-18,507,512,5.0
6-10293-343-16,509,512,3.0
17-25598-853-42,509,517,8.0
18-27210-907-4,510,521,11.0
17-25598-853-43,510,517,7.0
14-21047-701-86,515,526,11.0
14-21047-701-87,516,526,10.0
6-10293-343-17,518,519,1.0
13-20387-679-85,522,533,11.0
14-21047-701-85,526,527,1.0
14-21047-701-88,534,535,1.0
7-11507-383-85,535,546,11.0
9-14440-481-50,535,546,11.0
15-22085-736-25,538,549,11.0
7-11507-383-88,541,546,5.0
2-3663-122-15,543,554,11.0
2-3663-122-16,543,554,11.0
7-11507-383-87,544,546,2.0
2-3663-122-17,548,554,6.0
9-14440-481-52,550,551,1.0
7-11507-383-86,553,554,1.0
18-27210-907-3,554,555,1.0
18-27210-907-2,554,555,1.0
10-15557-518-89,558,569,11.0
9-14440-481-54,561,562,1.0
9-14440-481-53,561,562,1.0
9-14440-481-51,564,565,1.0
3-4766-158-131,566,577,11.0
3-4766-158-130,567,577,10.0
1-1762-58-114,570,581,11.0
19-29156-971-130,570,581,11.0
11-16667-555-86,571,582,11.0
11-16667-555-85,578,582,4.0
16-24614-820-74,582,593,11.0
16-24614-820-73,583,593,10.0
16-24338-811-40,588,599,11.0
3-5092-169-112,590,601,11.0
3-5092-169-110,596,601,5.0
19-28687-956-38,596,607,11.0
3-5092-169-111,598,601,3.0
19-28687-956-39,599,607,8.0
10-15340-511-50,600,611,11.0
2-3288-109-93,601,612,11.0
17-26411-880-59,607,618,11.0
2-3288-109-94,607,612,5.0
3-5092-169-113,609,610,1.0
17-26411-880-56,610,618,8.0
13-19777-659-35,613,624,11.0
17-26411-880-55,616,618,2.0
17-26411-880-58,618,619,1.0
17-26411-880-57,618,619,1.0
13-19777-659-36,620,624,4.0
3-5441-181-56,622,633,11.0
3-5441-181-59,623,633,10.0
18-27201-906-107,626,637,11.0
18-27201-906-106,627,637,10.0
18-27201-906-108,631,637,6.0
18-27201-906-109,632,637,5.0
3-5441-181-57,636,637,1.0
3-5441-181-58,636,637,1.0
7-10614-353-123,638,649,11.0
10-14979-499-48,641,652,11.0
7-10614-353-121,642,649,7.0
10-14979-499-49,642,652,10.0
7-10614-353-122,647,649,2.0
7-10614-353-124,649,650,1.0
17-26424-880-124,650,661,11.0
7-10614-353-120,650,651,1.0
11-16841-561-59,653,664,11.0
11-16841-561-55,656,664,8.0
11-16841-561-58,656,664,8.0
0-952-31-113,662,673,11.0
0-952-31-114,664,673,9.0
11-16841-561-56,664,665,1.0
10-14979-499-47,664,665,1.0
11-16841-561-57,669,670,1.0
16-23958-798-91,670,681,11.0
8-12848-428-44,672,683,11.0
0-952-31-112,674,675,1.0
0-952-31-111,677,678,1.0
16-24528-817-90,677,688,11.0
11-16666-555-84,681,682,1.0
16-23958-798-90,682,683,1.0
11-16666-555-82,683,684,1.0
1-1763-58-115,683,684,1.0
11-16666-555-83,687,688,1.0
19-28528-950-141,691,702,11.0
13-19138-637-140,694,705,11.0
19-28528-950-140,695,702,7.0
19-28528-950-142,698,702,4.0
13-19138-637-141,698,705,7.0
7-11642-388-13,701,712,11.0
16-24105-803-79,704,715,11.0
7-11642-388-12,705,712,7.0
7-11642-388-11,706,712,6.0
9-14497-483-35,708,719,11.0
18-27211-907-6,711,712,1.0
16-24749-824-145,711,722,11.0
7-11642-388-10,711,712,1.0
18-27211-907-5,713,714,1.0
7-11642-388-14,713,714,1.0
12-17661-588-106,720,731,11.0
6-10070-335-102,724,735,11.0
6-10070-335-104,725,735,10.0
6-10070-335-103,725,735,10.0
12-17661-588-105,726,731,5.0
5-7810-260-52,731,742,11.0
10-15558-518-90,731,732,1.0
5-7810-260-51,732,742,10.0
6-10292-343-14,736,737,1.0
5-7810-260-50,739,742,3.0
1-1563-52-18,741,752,11.0
5-7810-260-54,742,743,1.0
17-25599-853-46,745,746,1.0
17-25599-853-45,746,747,1.0
5-7810-260-53,749,750,1.0
1-1563-52-16,751,752,1.0
13-20386-679-81,752,753,1.0
1-1563-52-17,756,757,1.0
13-20386-679-84,757,758,1.0
14-21046-701-84,758,759,1.0
15-22084-736-21,760,761,1.0
13-20386-679-82,762,763,1.0
13-20386-679-83,763,764,1.0
15-22084-736-22,764,765,1.0
15-22084-736-23,769,770,1.0
10-15558-518-92,771,772,1.0
15-22084-736-24,776,777,1.0
10-15558-518-93,777,778,1.0
1-1563-52-19,778,779,1.0
10-15558-518-91,779,780,1.0
2-3289-109-96,783,784,1.0
2-3289-109-95,785,786,1.0
2-3289-109-97,785,786,1.0
16-23957-798-87,789,790,1.0
13-19776-659-33,790,791,1.0
16-23957-798-88,791,792,1.0
13-19776-659-34,792,793,1.0
13-19776-659-32,796,797,1.0
16-23957-798-89,799,800,1.0
19-28688-956-40,801,802,1.0
19-28688-956-42,806,807,1.0
19-28688-956-41,806,807,1.0
10-15118-503-142,806,817,11.0
10-15118-503-143,809,817,8.0
12-18628-620-140,810,821,11.0
10-15118-503-144,810,817,7.0
16-24615-820-77,811,812,1.0
16-24615-820-76,818,819,1.0
16-24615-820-75,819,820,1.0
10-14980-499-51,821,822,1.0
2-3662-122-13,821,822,1.0
2-3662-122-14,825,826,1.0
12-18628-620-141,828,829,1.0
7-11506-383-84,829,830,1.0
10-14980-499-50,830,831,1.0
10-15549-518-46,831,842,11.0
10-15549-518-49,832,842,10.0
10-15549-518-48,835,842,7.0
10-15549-518-47,836,842,6.0
16-24337-811-36,842,843,1.0
8-12849-428-46,843,844,1.0
16-24337-811-38,843,844,1.0
16-24337-811-39,843,844,1.0
16-24337-811-37,846,847,1.0
8-12849-428-47,852,853,1.0
6-10071-335-105,855,856,1.0
8-12849-428-45,858,859,1.0
8-12849-428-48,859,860,1.0
10-15549-518-45,859,860,1.0
16-24748-824-141,860,861,1.0
16-23924-797-74,860,871,11.0
19-28527-950-138,863,864,1.0
6-10071-335-106,865,866,1.0
16-23925-797-76,868,871,3.0
16-24527-817-87,870,871,1.0
16-23925-797-75,871,872,1.0
10-15119-503-145,872,873,1.0
16-24527-817-88,872,873,1.0
16-24527-817-89,878,879,1.0
10-15119-503-146,880,881,1.0
16-24527-817-86,882,883,1.0
1-1564-52-20,883,884,1.0
16-23924-797-72,884,885,1.0
16-23924-797-73,885,886,1.0
13-19137-637-137,890,891,1.0
12-17660-588-102,891,892,1.0
3-5091-169-109,893,894,1.0
12-17660-588-104,899,900,1.0
12-17660-588-103,899,900,1.0
8-12845-428-25,905,916,11.0
16-24748-824-143,906,907,1.0
16-24748-824-144,907,908,1.0
8-12845-428-29,907,916,9.0
16-24748-824-142,908,909,1.0
13-19137-637-138,910,911,1.0
8-12845-428-26,913,916,3.0
8-12845-428-27,916,917,1.0
13-19137-637-139,917,918,1.0
19-28527-950-139,917,918,1.0
8-12845-428-28,924,925,1.0
1-2234-74-72,925,936,11.0
9-14496-483-31,926,927,1.0
1-2234-74-70,926,936,10.0
1-2234-74-71,927,936,9.0
10-15339-511-47,932,933,1.0
16-24106-803-83,933,934,1.0
16-24106-803-82,937,938,1.0
10-15339-511-46,938,939,1.0
10-15339-511-48,939,940,1.0
9-14496-483-34,945,946,1.0
10-15339-511-49,946,947,1.0
12-18627-620-138,947,948,1.0
3-4765-158-128,948,949,1.0
3-4765-158-127,948,949,1.0
17-26425-880-127,950,951,1.0
9-14496-483-33,952,953,1.0
16-24106-803-81,957,958,1.0
9-14496-483-32,958,959,1.0
12-18627-620-139,959,960,1.0
3-4765-158-129,962,963,1.0
17-26425-880-128,964,965,1.0
12-18627-620-137,968,969,1.0
16-24106-803-80,968,969,1.0
17-26425-880-125,968,969,1.0
18-27202-906-110,970,971,1.0
16-23989-799-98,973,984,11.0
17-26425-880-126,973,974,1.0
3-5442-181-60,974,975,1.0
16-23989-799-97,978,984,6.0
19-29155-971-129,981,982,1.0
1-2233-74-68,984,985,1.0
16-23989-799-99,984,985,1.0
19-29155-971-128,985,986,1.0
1-2233-74-69,988,989,1.0
19-29155-971-126,995,996,1.0
16-23989-799-95,995,996,1.0
0-953-31-115,996,997,1.0
19-29155-971-127,996,997,1.0
16-23989-799-96,998,999,1.0
13-19980-666-4,1000,1011,11.0
13-19980-666-0,1000,1011,11.0
13-19980-666-3,1002,1011,9.0
1-2086-69-83,1003,1014,11.0
13-19980-666-2,1004,1011,7.0
3-4836-161-33,1010,1021,11.0
13-19980-666-1,1013,1014,1.0
3-4836-161-34,1019,1021,2.0
0-539-17-147,1019,1030,11.0
1-2086-69-80,1020,1021,1.0
6-9177-305-138,1022,1033,11.0
0-539-17-145,1025,1030,5.0
10-15733-524-68,1025,1036,11.0
0-539-17-146,1026,1030,4.0
10-15733-524-69,1032,1036,4.0
16-24427-814-35,1035,1046,11.0
1-2086-69-81,1036,1037,1.0
1-2086-69-82,1036,1037,1.0
6-9177-305-139,1037,1038,1.0
14-21097-703-35,1040,1051,11.0
13-19207-640-37,1041,1052,11.0
16-24427-814-36,1045,1046,1.0
16-24427-814-37,1046,1047,1.0
13-19207-640-35,1046,1052,6.0
12-18567-618-136,1051,1062,11.0
13-19207-640-36,1051,1052,1.0
16-24427-814-38,1052,1053,1.0
12-18567-618-135,1054,1062,8.0
12-18567-618-137,1057,1062,5.0
9-14118-470-93,1060,1071,11.0
18-26949-898-45,1061,1072,11.0
9-14118-470-90,1061,1071,10.0
12-18567-618-138,1064,1065,1.0
12-18567-618-139,1066,1067,1.0
9-14118-470-91,1072,1073,1.0
13-20454-681-120,1073,1084,11.0
9-14118-470-92,1075,1076,1.0
12-17674-589-22,1077,1088,11.0
9-14118-470-94,1078,1079,1.0
1-2392-79-111,1080,1091,11.0
12-17674-589-23,1084,1088,4.0
12-17674-589-20,1085,1088,3.0
1-2392-79-110,1086,1091,5.0
12-17674-589-21,1089,1090,1.0
0-1148-38-43,1090,1101,11.0
0-1148-38-40,1091,1101,10.0
0-1148-38-44,1094,1101,7.0
0-1148-38-42,1097,1101,4.0
0-1148-38-41,1097,1101,4.0
9-14207-473-89,1100,1111,11.0
19-28007-933-87,1105,1116,11.0
19-28007-933-88,1105,1116,11.0
19-28007-933-89,1106,1116,10.0
16-23994-799-120,1109,1120,11.0
9-14207-473-88,1110,1111,1.0
2-3715-123-126,1110,1121,11.0
9-14207-473-87,1112,1113,1.0
2-3715-123-127,1118,1121,3.0
4-6009-200-49,1119,1130,11.0
2-3715-123-129,1123,1124,1.0
4-6009-200-48,1124,1130,6.0
